PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,age_cat
1,0,3,22.0,1,0,7.25,1,0,1,2
2,1,1,38.0,1,0,71.2833,0,0,0,5
3,1,3,26.0,0,0,7.925,0,0,1,3
4,1,1,35.0,1,0,53.1,0,0,1,4
5,0,3,35.0,0,0,8.05,1,0,1,4
6,0,3,28.0,0,0,8.4583,1,1,0,3
7,0,1,54.0,0,0,51.8625,1,0,1,6
9,1,3,27.0,0,2,11.1333,0,0,1,3
12,1,1,58.0,0,0,26.55,0,0,1,6
13,0,3,20.0,0,0,8.05,1,0,1,1
14,0,3,39.0,1,5,31.275,1,0,1,5
16,1,2,55.0,0,0,16.0,0,0,1,6
18,1,2,28.0,0,0,13.0,1,0,1,3
19,0,3,31.0,1,0,18.0,0,0,1,4
20,1,3,28.0,0,0,7.225,0,0,0,3
21,0,2,35.0,0,0,26.0,1,0,1,4
22,1,2,34.0,0,0,13.0,1,0,1,4
24,1,1,28.0,0,0,35.5,1,0,1,3
26,1,3,38.0,1,5,31.3875,0,0,1,5
27,0,3,28.0,0,0,7.225,1,0,0,3
28,0,1,19.0,3,2,263.0,1,0,1,1
29,1,3,28.0,0,0,7.8792,0,1,0,3
30,0,3,28.0,0,0,7.8958,1,0,1,3
31,0,1,40.0,0,0,27.7208,1,0,0,5
32,1,1,28.0,1,0,146.5208,0,0,0,3
33,1,3,28.0,0,0,7.75,0,1,0,3
34,0,2,66.0,0,0,10.5,1,0,1,6
35,0,1,28.0,1,0,82.1708,1,0,0,3
36,0,1,42.0,1,0,52.0,1,0,1,6
37,1,3,28.0,0,0,7.2292,1,0,0,3
38,0,3,21.0,0,0,8.05,1,0,1,2
39,0,3,18.0,2,0,18.0,0,0,1,1
41,0,3,40.0,1,0,9.475,0,0,1,5
42,0,2,27.0,1,0,21.0,0,0,1,3
43,0,3,28.0,0,0,7.8958,1,0,0,3
45,1,3,19.0,0,0,7.8792,0,1,0,1
46,0,3,28.0,0,0,8.05,1,0,1,3
47,0,3,28.0,1,0,15.5,1,1,0,3
48,1,3,28.0,0,0,7.75,0,1,0,3
49,0,3,28.0,2,0,21.6792,1,0,0,3
50,0,3,18.0,1,0,17.8,0,0,1,1
52,0,3,21.0,0,0,7.8,1,0,1,2
53,1,1,49.0,1,0,76.7292,0,0,0,6
54,1,2,29.0,1,0,26.0,0,0,1,3
55,0,1,65.0,0,1,61.9792,1,0,0,6
56,1,1,28.0,0,0,35.5,1,0,1,3
57,1,2,21.0,0,0,10.5,0,0,1,2
58,0,3,28.5,0,0,7.2292,1,0,0,3
